,y_true,y_pred
0,1,0
1,0,0
2,1,0
3,0,0
4,0,0
5,0,0
6,0,0
7,1,0
8,0,1
9,0,1
10,0,0
11,1,1
12,0,0
13,1,1
14,0,1
15,0,0
16,1,1
17,0,1
18,0,1
19,0,0
20,1,0
21,1,1
22,0,0
23,0,0
24,0,1
25,1,0
26,0,0
27,0,0
28,0,0
29,0,0
30,1,1
31,0,0
32,0,1
33,0,1
34,0,0
35,1,0
36,0,1
37,1,1
38,0,0
39,0,0
40,1,1
41,0,1
42,0,0
43,0,1
44,1,0
45,0,1
46,0,0
47,0,1
48,0,0
49,0,0
50,0,1
51,0,1
52,1,1
53,0,0
54,0,1
55,0,0
56,0,0
57,1,0
58,0,1
59,0,0
60,1,0
61,1,0
62,0,0
63,0,0
64,1,0
65,0,0
66,1,1
67,0,0
68,1,0
69,0,0
70,1,0
71,0,0
72,1,1
73,0,0
74,0,0
75,0,0
76,0,0
77,0,1
78,0,0
79,0,0
80,1,1
81,0,1
82,0,1
